Player,Team,Season,GP,Team Games,Missed Low,Missed Moderate,Missed High,Missed Unclassified,Note
Kade Birchwell,ALB,2025-26,79,82,2,1,0,0,
Kade Birchwell,ALB,2024-25,76,82,3,3,0,0,
Kade Birchwell,ALB,2023-24,76,82,3,3,0,0,
Vance Yarrow,BRV,2025-26,52,82,5,4,21,0,recurring lower-body issue (fictional)
Vance Yarrow,BRV,2024-25,60,82,4,3,15,0,recurring lower-body issue (fictional)
Vance Yarrow,BRV,2023-24,68,82,2,2,10,0,recurring lower-body issue (fictional)
Ulises Zeller,CDR,2025-26,78,82,2,2,0,0,
Ulises Zeller,CDR,2024-25,76,82,3,3,0,0,
Ulises Zeller,CDR,2023-24,77,82,3,2,0,0,
Gage Ashgrove,DLT,2025-26,73,82,5,4,0,0,
Gage Ashgrove,DLT,2024-25,76,82,3,3,0,0,
Gage Ashgrove,DLT,2023-24,75,82,4,3,0,0,
Tate Oakridge,EMB,2025-26,79,82,2,1,0,0,
Tate Oakridge,EMB,2024-25,81,82,1,0,0,0,
Tate Oakridge,EMB,2023-24,79,82,2,1,0,0,
Cam Ashgrove,FRG,2025-26,48,82,5,5,24,0,recurring lower-body issue (fictional)
Cam Ashgrove,FRG,2024-25,67,82,2,2,11,0,recurring lower-body issue (fictional)
Cam Ashgrove,FRG,2023-24,65,82,3,2,12,0,recurring lower-body issue (fictional)
Avery Fairbourne,GLN,2025-26,80,82,1,1,0,0,
Avery Fairbourne,GLN,2024-25,79,82,2,1,0,0,
Avery Fairbourne,GLN,2023-24,79,82,2,1,0,0,
Milo Zeller,HVN,2025-26,81,82,1,0,0,0,
Milo Zeller,HVN,2024-25,81,82,1,0,0,0,
Milo Zeller,HVN,2023-24,80,82,1,1,0,0,
Jonah Northcott,IRN,2025-26,80,82,1,1,0,0,
Jonah Northcott,IRN,2024-25,80,82,1,1,0,0,
Jonah Northcott,IRN,2023-24,81,82,1,0,0,0,
Tate Dunmore,JAD,2025-26,76,82,3,3,0,0,
Tate Dunmore,JAD,2024-25,74,82,4,4,0,0,
Tate Dunmore,JAD,2023-24,76,82,3,3,0,0,
Quincy Yarrow,KNG,2025-26,75,82,4,3,0,0,
Quincy Yarrow,KNG,2024-25,78,82,2,2,0,0,
Quincy Yarrow,KNG,2023-24,75,82,4,3,0,0,
Cyrus Pembrook,LYX,2025-26,78,82,2,2,0,0,
Cyrus Pembrook,LYX,2024-25,78,82,2,2,0,0,
Cyrus Pembrook,LYX,2023-24,77,82,3,2,0,0,
Wes Quill,MTR,2025-26,79,82,2,1,0,0,
Wes Quill,MTR,2024-25,79,82,2,1,0,0,
Wes Quill,MTR,2023-24,79,82,2,1,0,0,
Eli Vexley,NOV,2025-26,75,82,4,3,0,0,
Eli Vexley,NOV,2024-25,75,82,4,3,0,0,
Eli Vexley,NOV,2023-24,76,82,3,3,0,0,
Avery Lockhart,ORC,2025-26,47,82,5,5,25,0,recurring lower-body issue (fictional)
Avery Lockhart,ORC,2024-25,42,82,6,6,28,0,recurring lower-body issue (fictional)
Avery Lockhart,ORC,2023-24,61,82,3,3,15,0,recurring lower-body issue (fictional)
Idris Lockhart,PHN,2025-26,79,82,2,1,0,0,
Idris Lockhart,PHN,2024-25,79,82,2,1,0,0,
