R#,ADP,PLAYER,TEAM,POS,GP,MPG,FGM,FGA,FG%,FTM,FTA,FT%,3PM,PTS,REB,AST,STL,BLK,TO,W18,W19,W20,W21
2,9.5,Kade Birchwell,ALB,PF,76,37,11.4,25.7,0.443,3.6,4.4,0.812,3.4,28.6,8.5,2.9,1,1.2,2.3,4,4,3,4
12,7.9,Vance Yarrow,BRV,"PF,C",57,37,9.6,20.2,0.475,4.5,5.3,0.846,4,26.1,8,2.5,1,1.8,3.4,4,3,4,4
1,15.5,Ulises Zeller,CDR,"SG,SF",70,37,11.4,25.5,0.448,5.8,7.7,0.753,6.7,32.9,4.2,3.3,1.5,0.5,4.9,4,4,3,4
5,8.4,Gage Ashgrove,DLT,"SG,SF",76,37,11.4,26.2,0.435,4.2,4.6,0.899,4.7,30.1,5.5,3.7,1.3,0.4,3.5,3,4,3,3
4,5.3,Tate Oakridge,EMB,SF,78,37,12.8,30.4,0.422,6.2,8.2,0.748,3.4,34,9.4,3.5,1.6,0.6,2.6,4,4,3,4
10,2,Cam Ashgrove,FRG,PF,52,37,11.7,23.6,0.497,5.4,7.1,0.76,3.9,31.2,8.6,2.9,1,0.9,3.6,4,4,4,3
30,19.2,Avery Fairbourne,GLN,"SF,PF",80,37,12.7,26.6,0.478,2.4,3,0.79,4.2,30.4,8,2.9,1.1,0.7,3.2,3,4,4,3
16,19.1,Milo Zeller,HVN,PG,79,35.9,9.8,23.2,0.42,4.7,5.8,0.823,3.7,26.7,4.9,12,1.1,0.5,5.8,4,4,4,3
6,1,Jonah Northcott,IRN,"SG,SF",73,37,10,25.1,0.4,3.5,4.9,0.727,4.5,26.6,5.6,4.6,1,0.6,3.3,3,3,4,4
11,24.6,Tate Dunmore,JAD,PG,70,37,11.4,24,0.476,8.2,9.5,0.861,4.5,33.9,3.8,14.4,1.3,0.4,5.5,4,4,4,3
3,3.2,Quincy Yarrow,KNG,SF,70,37,10,19.6,0.51,3.8,5.2,0.724,2.5,25.3,5.7,4.5,1.4,1,3.4,4,3,3,3
19,11.2,Cyrus Pembrook,LYX,SG,76,37,7.8,16.6,0.47,3.8,5,0.758,6.7,23.6,5.2,4.3,1.5,0.6,3.1,4,3,4,4
20,8.8,Wes Quill,MTR,"PF,C",73,37,8.6,17,0.505,3.5,4.5,0.786,3,22.5,9.3,2.7,0.8,1.7,3.3,3,3,3,4
14,20.1,Eli Vexley,NOV,PG,74,37,9.3,20.3,0.46,4.2,5.2,0.803,3.7,25.1,4.2,13.5,1,0.3,4.1,4,3,4,4
26,26.4,Avery Lockhart,ORC,"PF,C",59,35.2,6.5,12.7,0.511,3.3,4.2,0.788,2.9,18,6.7,2.2,0.7,1.3,2.4,3,4,3,4
15,33.8,Idris Lockhart,PHN,"SF,PF",75,37,9.7,21,0.461,2.9,3.7,0.784,3.4,24.4,7.6,3.5,1.3,0.6,2.6,4,3,3,4
8,9.3,Florian Ingram,QST,C,79,37,8.6,14.8,0.582,7,9.8,0.716,0.4,24.5,12.4,3.1,0.8,2.2,3.8,4,4,3,3
7,16.1,Hollis Underhill,RVR,"PG,SG",79,37,7.3,16.3,0.448,4.6,5,0.918,4.4,22,4.1,12.9,1.2,0.5,4.8,4,3,4,3
18,30.3,Hugo Corvell,SUM,PG,74,37,9.9,20.6,0.48,4.7,5.7,0.813,4.3,27,3.9,13.9,2,0.3,4,3,4,4,4
9,25.3,Marek Oakridge,TID,C,69,37,11.8,22,0.534,6.6,9.5,0.697,0.4,30.4,13.1,2.6,0.7,1.7,3.2,4,3,3,3
33,32.6,Rowan Garrow,UMB,"PF,C",78,37,11.3,22.2,0.511,6.6,9.2,0.717,2.7,30.9,7.5,3,0.9,0.9,2.5,4,3,3,4
29,37.5,Niall Northcott,VIP,"PF,C",79,31.3,7.1,15.4,0.46,5.4,6.5,0.84,4,22.1,7.2,2.4,0.9,1.4,2.6,3,3,4,4
23,5.1,Quincy Calloway,WLD,PG,77,37,8.9,19.9,0.446,6.2,7.1,0.876,4.1,26.6,4.6,13.3,1.8,0.2,4.3,3,4,3,4
21,45.4,Kellan Lockhart,XEN,PG,76,34.8,7.7,17.5,0.437,4.7,6,0.794,4.7,23.1,5,14.4,1.3,0.4,3.1,3,4,4,4
31,28.9,Ulises Birchwell,YTI,"PF,C",74,36.4,6.7,12.9,0.519,3.6,4.5,0.799,3.2,18.9,9.9,2.7,0.8,1.2,2.2,4,3,3,3
40,28.4,Hugo Ravensworth,ZEP,C,73,33.1,7.8,11.9,0.651,4.4,6.7,0.651,0.4,20.1,10.2,2.4,0.6,1.5,2.8,3,3,4,4
22,25,Milo Ashgrove,ARC,C,73,34.7,9.5,15.3,0.619,3.7,6.3,0.588,0.2,22.7,12.9,2.1,0.7,1.8,2.6,3,4,3,4
37,32,Cyrus Ingram,BOL,"SG,SF",80,37,11.5,23.7,0.483,6.4,7,0.913,4.5,32.1,5.1,3.6,1.5,0.4,3.1,4,4,3,3
41,42.3,Zane Blackwood,CRS,"SG,SF",60,32.4,8.2,17.5,0.471,4.6,5.9,0.775,3,22.9,4.6,3.2,1.3,0.7,2.5,3,3,3,4
13,19,Ulises Pembrook,DUN,PF,72,37,9.2,19.2,0.48,3.7,4.2,0.886,1.9,23.3,7.5,2.4,1.1,1.2,2.8,4,3,3,3
34,40.5,Dorian Garrow,ALB,SG,72,37,7.8,19.2,0.405,5.2,6.6,0.779,5.4,24.3,5.9,5.1,0.9,0.4,3.5,4,4,3,4
27,22,Finn Abernet,BRV,"SF,PF",54,37,8.9,17.9,0.497,4.6,6.4,0.724,3,24.2,8.2,3.3,1.1,0.7,3.6,4,3,4,4
47,52.3,Marek Birchwell,CDR,PG,70,37,10.8,25,0.432,4.5,4.9,0.913,2.9,28,3.7,10.3,1.3,0.4,3.8,4,4,3,4
32,51.7,Hugo Yarrow,DLT,SG,55,36.4,8.4,18.7,0.451,4,4.9,0.801,3.9,23.3,4.7,4.6,1.2,0.4,3.4,3,4,3,3
25,22.8,Hollis Fairbourne,EMB,SG,57,34.4,8.3,17.3,0.476,4.4,5,0.884,4,23.4,4.9,4.8,1.1,0.3,3.1,4,4,3,4
35,29.5,Emeka Blackwood,FRG,C,73,36.6,11.2,18.2,0.617,5,7.1,0.707,0.3,27.7,10.3,3,0.9,1.7,3.4,4,4,4,3
