Player,Team,Pos,Yahoo ID,XRank,Rank,Last 7 Days ADP,Status
Kade Birchwell,ALB,PF,ySMP0001,2,3,10.8,
Vance Yarrow,BRV,"PF,C",ySMP0002,7,13,5.8,
Ulises Zeller,CDR,"SG,SF",ySMP0003,5,1,8.5,
Gage Ashgrove,DLT,"SG,SF",ySMP0004,14,10,3.6,
Tate Oakridge,EMB,SF,ySMP0005,8,4,12.5,
Cam Ashgrove,FRG,PF,ySMP0006,6,8,7,
Avery Fairbourne,GLN,"SF,PF",ySMP0007,15,15,18.5,
Milo Zeller,HVN,PG,ySMP0008,12,23,16.4,
Jonah Northcott,IRN,"SG,SF",ySMP0009,1,2,2.4,
Tate Dunmore,JAD,PG,ySMP0010,17,19,24.9,
Quincy Yarrow,KNG,SF,ySMP0011,3,12,3.8,
Cyrus Pembrook,LYX,SG,ySMP0012,9,31,13.7,
Wes Quill,MTR,"PF,C",ySMP0013,29,7,9.9,
Eli Vexley,NOV,PG,ySMP0014,21,22,21.8,
Avery Lockhart,ORC,"PF,C",ySMP0015,28,35,27.5,GTD
Idris Lockhart,PHN,"SF,PF",ySMP0016,18,18,28.2,
Florian Ingram,QST,C,ySMP0017,16,9,9.8,
Hollis Underhill,RVR,"PG,SG",ySMP0018,11,14,14.5,
Hugo Corvell,SUM,PG,ySMP0019,13,20,24.6,
Marek Oakridge,TID,C,ySMP0020,23,11,17.4,
Rowan Garrow,UMB,"PF,C",ySMP0021,19,45,32.4,
Niall Northcott,VIP,"PF,C",ySMP0022,40,39,35.5,
Quincy Calloway,WLD,PG,ySMP0023,4,21,4.3,
Kellan Lockhart,XEN,PG,ySMP0024,36,34,37.7,
Ulises Birchwell,YTI,"PF,C",ySMP0025,33,42,33.3,
Hugo Ravensworth,ZEP,C,ySMP0026,25,17,23.8,
Milo Ashgrove,ARC,C,ySMP0027,20,29,32.9,
Cyrus Ingram,BOL,"SG,SF",ySMP0028,54,55,38.6,
Zane Blackwood,CRS,"SG,SF",ySMP0029,43,28,42.3,
Ulises Pembrook,DUN,PF,ySMP0030,10,6,14.6,
Dorian Garrow,ALB,SG,ySMP0031,42,30,38.6,
Finn Abernet,BRV,"SF,PF",ySMP0032,26,36,19.2,
Marek Birchwell,CDR,PG,ySMP0033,46,53,52.6,
Hugo Yarrow,DLT,SG,ySMP0034,44,46,45.2,GTD
Hollis Fairbourne,EMB,SG,ySMP0035,24,37,18.3,
Emeka Blackwood,FRG,C,ySMP0036,41,5,35.1,
Soren Yarrow,GLN,"SF,PF",ySMP0037,30,24,22.6,
Yuri Calloway,HVN,PF,ySMP0038,37,44,45.9,
Kellan Oakridge,IRN,"SF,PF",ySMP0039,22,26,29.5,
Linus Eastlake,JAD,C,ySMP0040,35,43,49.2,
Orin Hartwell,KNG,SG,ySMP0041,27,33,35.4,
Dorian Vexley,LYX,"SG,SF",ySMP0042,32,49,53.9,
Quincy Fairbourne,MTR,PG,ySMP0043,51,27,40.3,
Lior Everly,NOV,"PF,C",ySMP0044,38,25,28.6,GTD
Soren Northcott,ORC,C,ySMP0045,50,40,54.3,
Milo Northcott,PHN,PF,ySMP0046,52,38,68.1,
Gage Draven,QST,C,ySMP0047,56,48,55.6,
Dorian Underhill,RVR,"SG,SF",ySMP0048,60,74,66.2,
Orin Wolcott,SUM,"SG,SF",ySMP0049,59,41,46,
Yuri Ravensworth,TID,"SG,SF",ySMP0050,39,51,52.2,
Dante Quill,UMB,PF,ySMP0051,57,60,47,
Soren Blackwood,VIP,C,ySMP0052,58,50,49.6,
Galen Stroud,WLD,SF,ySMP0053,49,47,64.9,
Florian Pembrook,XEN,SG,ySMP0054,72,63,82.6,
Orin Ravensworth,YTI,"SF,PF",ySMP0055,53,59,72.6,
Ulises Thorne,ZEP,"PF,C",ySMP0056,34,62,42,
Finn Wolcott,ARC,"PF,C",ySMP0057,48,52,57,
Finn Marlow,BOL,PF,ySMP0058,47,57,67.6,
Florian Ravensworth,CRS,"SF,PF",ySMP0059,63,72,57.2,
Galen Calloway,DUN,C,ySMP0060,84,78,78.1,
Wes Birchwell,ALB,PG,ySMP0061,45,32,27.1,
Soren Marlow,BRV,SG,ySMP0062,62,56,59.5,INJ
Bram Pembrook,CDR,"SG,SF",ySMP0063,75,71,56.4,
Gage Abernet,DLT,"PG,SG",ySMP0064,85,93,94,
Finn Pembrook,EMB,C,ySMP0065,79,69,75.2,
Soren Wolcott,FRG,"PF,C",ySMP0066,76,66,78.3,INJ
Yuri Eastlake,GLN,"SF,PF",ySMP0067,114,102,113.4,
Tate Marlow,HVN,"SG,SF",ySMP0068,31,16,43.4,
Dante Ashgrove,IRN,SG,ySMP0069,80,77,66.7,GTD
Quincy Zeller,JAD,"PF,C",ySMP0070,70,65,49.4,
Linus Blackwood,KNG,PF,ySMP0071,96,92,91.4,
Marek Stroud,LYX,"PF,C",ySMP0072,64,81,61.4,
Idris Underhill,MTR,"SF,PF",ySMP0073,71,75,87.1,
Dorian Eastlake,NOV,PG,ySMP0074,67,80,61.9,GTD
Rowan Calloway,ORC,"SF,PF",ySMP0075,86,88,94.9,
Ivo Yarrow,PHN,PG,ySMP0076,110,105,93.3,
Quincy Marlow,QST,C,ySMP0077,61,73,70.2,
Wes Calloway,RVR,"SF,PF",ySMP0078,65,67,65.2,
Xander Blackwood,SUM,SF,ySMP0079,66,70,74.2,
Cam Garrow,TID,C,ySMP0080,91,61,91.9,
Hugo Lockhart,UMB,"SG,SF",ySMP0081,69,76,82.3,
Florian Yarrow,VIP,"PG,SG",ySMP0082,81,103,86.5,
Linus Fairbourne,WLD,SG,ySMP0083,93,84,79.4,
Niall Abernet,XEN,PG,ySMP0084,68,87,86.2,INJ
Kade Draven,YTI,C,ySMP0085,55,91,67,
Finn Oakridge,ZEP,PF,ySMP0086,109,117,101.1,INJ
Quincy Corvell,ARC,C,ySMP0087,74,64,59.9,
Soren Fairbourne,BOL,SF,ySMP0088,118,131,110.1,
Galen Abernet,CRS,SF,ySMP0089,78,83,69.9,
Kade Wolcott,DUN,PG,ySMP0090,73,54,75.1,
Gage Fairbourne,ALB,SF,ySMP0091,77,58,83.4,
Emeka Jessop,BRV,"PG,SG",ySMP0092,105,126,120.6,
Rowan Eastlake,CDR,PG,ySMP0093,159,184,167.1,
Pax Underhill,DLT,"PF,C",ySMP0094,88,100,85.9,
Emeka Corvell,EMB,SG,ySMP0095,107,97,97.4,
Idris Fairbourne,FRG,"PG,SG",ySMP0096,99,114,104.9,
Gage Northcott,GLN,"SG,SF",ySMP0097,101,116,111.5,
Wes Ingram,HVN,C,ySMP0098,87,85,80.1,
Eli Birchwell,IRN,PG,ySMP0099,82,79,89.2,
Quincy Eastlake,JAD,"PG,SG",ySMP0100,95,99,99,
Nico Dunmore,KNG,"PF,C",ySMP0101,188,152,180.5,
Emeka Kestrel,LYX,"PF,C",ySMP0102,83,68,72.9,
Bram Hartwell,MTR,C,ySMP0103,143,132,125.1,
Galen Quill,NOV,SF,ySMP0104,124,112,123.1,
Idris Pembrook,ORC,SG,ySMP0105,113,106,97,
Linus Everly,PHN,SG,ySMP0106,106,134,118.3,
Zane Jessop,QST,PG,ySMP0107,128,115,140.6,
Dorian Fairbourne,RVR,SG,ySMP0108,103,89,82.1,
Florian Stroud,SUM,"SG,SF",ySMP0109,90,86,96.7,
Ansel Pembrook,TID,PF,ySMP0110,115,96,106.2,
Eli Thorne,UMB,PF,ySMP0111,92,82,90.5,
Ivo Vexley,VIP,"PF,C",ySMP0112,104,101,110.8,
Kellan Calloway,WLD,"SG,SF",ySMP0113,155,180,154.8,
Orin Abernet,XEN,"PG,SG",ySMP0114,94,90,100.9,
Hollis Northcott,YTI,"PF,C",ySMP0115,119,147,109.3,
Rowan Northcott,ZEP,"PF,C",ySMP0116,158,148,158.9,
Kade Stroud,ARC,PG,ySMP0117,129,123,129,GTD
Orin Northcott,BOL,"SG,SF",ySMP0118,131,142,137.4,
Xander Stroud,CRS,"SG,SF",ySMP0119,126,120,115.7,
Jonah Ingram,DUN,"PF,C",ySMP0120,102,95,103.4,
Blake Blackwood,ALB,"SG,SF",ySMP0121,116,107,114.5,
Hugo Zeller,BRV,SF,ySMP0122,153,161,153.8,GTD
Orin Jessop,CDR,SF,ySMP0123,232,248,,
Zane Wolcott,DLT,"SG,SF",ySMP0124,139,127,133,
Eli Underhill,EMB,"SG,SF",ySMP0125,135,139,142.1,
Ulises Marlow,FRG,SF,ySMP0126,138,150,146.2,
Eli Ravensworth,GLN,C,ySMP0127,162,157,161.2,
Idris Yarrow,HVN,"PG,SG",ySMP0128,216,207,,
Yuri Ingram,IRN,PG,ySMP0129,108,129,134.3,
Eli Quill,JAD,C,ySMP0130,182,174,173.7,
Finn Ravensworth,KNG,PG,ySMP0131,117,110,114.1,
Vance Calloway,LYX,PF,ySMP0132,146,151,159.6,
Niall Corvell,MTR,"PG,SG",ySMP0133,112,113,118.2,
Eli Eastlake,NOV,"PG,SG",ySMP0134,98,104,108,
Wes Stroud,ORC,"SG,SF",ySMP0135,253,242,,
Bram Wolcott,PHN,SF,ySMP0136,134,124,118.2,
Hugo Calloway,QST,PF,ySMP0137,149,144,129.8,
Orin Eastlake,RVR,"PF,C",ySMP0138,205,200,,
Cam Wolcott,SUM,"PF,C",ySMP0139,125,125,123,
Blake Calloway,TID,"SF,PF",ySMP0140,179,165,178.6,
Jonah Vexley,UMB,C,ySMP0141,178,170,171.7,INJ
Kellan Corvell,VIP,PG,ySMP0142,196,216,,
Yuri Oakridge,WLD,PF,ySMP0143,100,94,106.6,
Pax Zeller,XEN,"SF,PF",ySMP0144,152,160,152.6,
Wes Ravensworth,YTI,C,ySMP0145,151,130,146.6,
Milo Pembrook,ZEP,C,ySMP0146,228,218,,
Hollis Quill,ARC,SG,ySMP0147,120,155,137.8,
Idris Birchwell,BOL,PF,ySMP0148,204,245,,
Ivo Everly,CRS,"SF,PF",ySMP0149,210,233,,
Hugo Kestrel,DUN,PG,ySMP0150,111,98,120.9,
Avery Ashgrove,ALB,SG,ySMP0151,157,159,163.2,GTD
Nico Ashgrove,BRV,PG,ySMP0152,185,203,178.3,
Kade Abernet,CDR,C,ySMP0153,225,225,,
Bram Birchwell,DLT,"PG,SG",ySMP0154,142,119,139.4,
Milo Fairbourne,EMB,SF,ySMP0155,89,109,101.5,
Kade Ashgrove,FRG,PG,ySMP0156,148,128,142.8,INJ
Jalen Zeller,GLN,PF,ySMP0157,144,136,134.5,GTD
Ivo Calloway,HVN,PG,ySMP0158,166,166,166.8,
