player,team,positions,yahooXRank,yahooRank,yahooL7Adp,providerRank,providerAdp,engineBpvRank,engineSeasonRank,enginePerGameRank,engineNeutral9CatRank,gp,strengths,weaknesses,risk,availabilityScore,disagreementFlags,deltaEngineVsProvider,deltaEngineVsXRank,deltaYahooL7AdpVsProviderAdp,severity,tentativeClasses,evidence
Cyrus Ingram,BOL,SG/SF,54,55,38.6,37,,1,1,2,4,80,FT%; 3PM; PTS; STL,TO,LOW,98,projection Δ vs bbm,36,53,,MAJOR,SOURCE_DATA_MISMATCH; PERCENTAGE_VOLUME_DIFFERENCE,"projection Δ vs bbm; volume-weighted z FG 0.06, FT 2.84"
Quincy Calloway,WLD,PG,4,21,4.3,23,,2,2,3,3,77,FT%; 3PM; PTS; AST; STL,FG%; BLK; TO,LOW,98,,21,2,,DISAGREE,PERCENTAGE_VOLUME_DIFFERENCE,"volume-weighted z FG -1.08, FT 2.11"
Tate Dunmore,JAD,PG,17,19,24.9,11,,3,4,1,2,70,FT%; 3PM; PTS; AST; STL,TO,LOW,97,,8,14,,NONE,,
Hugo Corvell,SUM,PG,13,20,24.6,18,,4,3,4,1,74,3PM; PTS; AST; STL,BLK; TO,LOW,99,,14,9,,NONE,,
Hollis Underhill,RVR,PG/SG,11,14,14.5,7,,5,5,6,9,79,FT%; 3PM; AST; STL,TO,LOW,99,,2,6,,NONE,,
Kellan Lockhart,XEN,PG,36,34,37.7,21,,6,8,7,5,76,3PM; PTS; AST; STL,FG%; TO,LOW,90,,15,30,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Florian Ingram,QST,C,16,9,9.8,8,,7,6,9,12,79,FG%; PTS; REB; BLK,FT%; 3PM; TO,LOW,99,projection Δ vs bbm,1,9,,NONE,,
Avery Fairbourne,GLN,SF/PF,15,15,18.5,30,,8,7,17,17,80,3PM; PTS,TO,LOW,99,,22,7,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Niall Northcott,VIP,PF/C,40,39,35.5,29,,9,9,16,13,79,FT%; 3PM; BLK,,LOW,98,,20,31,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Orin Hartwell,KNG,SG,27,33,35.4,46,,10,10,10,15,76,3PM; PTS; STL,TO,LOW,100,,36,17,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Cyrus Pembrook,LYX,SG,9,31,13.7,19,,11,11,11,8,76,3PM; PTS; STL,TO,LOW,98,,8,-2,,NONE,,
Emeka Blackwood,FRG,C,41,5,35.1,35,,12,13,8,7,73,FG%; PTS; REB; BLK,FT%; 3PM; TO,LOW,90,,23,29,,DISAGREE,PERCENTAGE_VOLUME_DIFFERENCE,"volume-weighted z FG 3.78, FT -1.34"
Ulises Birchwell,YTI,PF/C,33,42,33.3,31,,13,14,12,10,74,3PM; REB,,LOW,99,,18,20,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
