Player,Team,Age,Status,Risk Delta,Manual Upside,Role Tags,Prev MPG,Note
Kade Birchwell,ALB,29,HEALTHY,,,,,
Vance Yarrow,BRV,25,HEALTHY,,,,,
Ulises Zeller,CDR,25,HEALTHY,,,,,
Gage Ashgrove,DLT,27,HEALTHY,,,,30,
Tate Oakridge,EMB,23,HEALTHY,,,,,
Cam Ashgrove,FRG,29,HEALTHY,,,INJURY_AWAY_ROLE,,
Avery Fairbourne,GLN,24,HEALTHY,,,,,
Milo Zeller,HVN,30,HEALTHY,,,STARTER_OPPORTUNITY,,
Jonah Northcott,IRN,30,HEALTHY,,,,,
Tate Dunmore,JAD,24,HEALTHY,,,,,
Quincy Yarrow,KNG,24,HEALTHY,,,,,
Cyrus Pembrook,LYX,29,HEALTHY,,,,,
Wes Quill,MTR,22,HEALTHY,,,,,
Eli Vexley,NOV,29,HEALTHY,,,,,
Avery Lockhart,ORC,29,DTD,,,,,
Idris Lockhart,PHN,23,HEALTHY,,,,,
Florian Ingram,QST,26,HEALTHY,,,,,
Hollis Underhill,RVR,26,HEALTHY,,,,,
Hugo Corvell,SUM,26,HEALTHY,,,,,
Marek Oakridge,TID,19,HEALTHY,,,,,
Rowan Garrow,UMB,23,HEALTHY,,,,30,
Niall Northcott,VIP,28,HEALTHY,,,,,
Quincy Calloway,WLD,31,HEALTHY,,,,,
Kellan Lockhart,XEN,19,HEALTHY,,,,,
Ulises Birchwell,YTI,24,HEALTHY,,,,,
Hugo Ravensworth,ZEP,28,HEALTHY,,,,,
Milo Ashgrove,ARC,24,HEALTHY,,,,,
Cyrus Ingram,BOL,29,HEALTHY,,,,,
Zane Blackwood,CRS,22,HEALTHY,,,,,
Ulises Pembrook,DUN,30,HEALTHY,,,,,
Dorian Garrow,ALB,31,HEALTHY,,,STARTER_OPPORTUNITY,,
Finn Abernet,BRV,33,HEALTHY,,,,,
Marek Birchwell,CDR,28,HEALTHY,,,,,
Hugo Yarrow,DLT,21,DTD,,,,,
Hollis Fairbourne,EMB,25,HEALTHY,,,,,
Emeka Blackwood,FRG,19,HEALTHY,,,,,
Soren Yarrow,GLN,21,HEALTHY,,,INJURY_AWAY_ROLE,,
Yuri Calloway,HVN,26,HEALTHY,,,,21,
Kellan Oakridge,IRN,25,HEALTHY,,,,,
Linus Eastlake,JAD,25,HEALTHY,,,,,
Orin Hartwell,KNG,21,HEALTHY,,,,,
Dorian Vexley,LYX,32,HEALTHY,,,,,
Quincy Fairbourne,MTR,28,HEALTHY,,,,,
Lior Everly,NOV,30,DTD,,,,,
Soren Northcott,ORC,25,HEALTHY,,,,,
Milo Northcott,PHN,29,HEALTHY,,,,,
Gage Draven,QST,25,HEALTHY,,,,,
Dorian Underhill,RVR,25,HEALTHY,,,,,
