Name,Team,g,m/g,fgm,fga,ftm,fta,3pm,pts,reb,ast,stl,blk,to
Kade Birchwell,ALB,76,37,11.5,25.9,3.7,4.3,3.4,28,8.6,2.7,1,1.2,2.2
Vance Yarrow,BRV,58,37,9.5,20.3,4.4,5.3,3.9,28,7.7,2.6,1,1.7,3.4
Ulises Zeller,CDR,71,37,12,25.5,5.5,7.5,6.6,33.9,4.4,3.3,1.7,0.5,4.9
Gage Ashgrove,DLT,78,37,10.5,28.6,4.1,4.8,4.9,30.2,5.7,3.9,1.3,0.4,3.6
Tate Oakridge,EMB,80,37,12.7,29.4,6.2,8.2,3.3,33.4,9,3.5,1.7,0.7,2.6
Cam Ashgrove,FRG,50,37,9,27.4,6.4,6.4,3.8,28.5,11.2,2.5,1,0.7,2.3
Avery Fairbourne,GLN,80,37,12.8,26.9,2.1,3.1,4.2,31,8.7,2.8,1.1,0.7,3.4
Milo Zeller,HVN,79,35.9,9.8,22.3,4.5,6.2,3.5,25.5,4.9,12.9,1,0.5,5.9
Jonah Northcott,IRN,75,37,9.9,26,3.7,4.3,4.5,25,5.4,4,0.9,0.5,3.3
Tate Dunmore,JAD,71,37,12.4,24.3,8.2,9.5,4.3,37.2,3.8,15.5,1.2,0.4,6
Quincy Yarrow,KNG,71,37,9.9,19.1,3.7,5.3,2.7,24.6,5.5,4.6,1.3,1,3.5
Cyrus Pembrook,LYX,77,37,7.6,17.1,3.6,4.9,6.6,23.3,5,4,1.6,0.6,3
Wes Quill,MTR,74,37,8.3,16.6,3.6,4.5,2.8,21.1,9.6,2.5,0.8,1.7,3.2
Eli Vexley,NOV,75,37,9,19.6,3.9,5.2,3.5,23.5,4.3,13.6,1,0.3,4.1
Avery Lockhart,ORC,59,35.2,6.5,12.3,3.3,4.6,2.9,19.4,7.1,2.1,0.6,1.4,2.3
Idris Lockhart,PHN,77,37,9.8,22.4,2.9,3.9,3.4,23.8,7.6,3.6,1.2,0.6,2.5
Florian Ingram,QST,80,37,8,14.8,6.2,9.7,0.3,22.2,13.4,3.2,0.7,2,3.9
Hollis Underhill,RVR,79,37,7.3,16.2,4.3,4.8,4.7,23.6,3.8,12.5,1.3,0.5,4.8
Hugo Corvell,SUM,74,37,9.6,20.9,5.2,5.4,4.3,26.6,3.7,13.8,1.9,0.3,3.7
Marek Oakridge,TID,69,37,11,21.8,7.1,9.1,0.4,30.4,14.4,2.9,0.7,1.8,3.2
Rowan Garrow,UMB,78,37,11.7,20.2,6.3,9.4,3.1,32.5,7.7,3,0.8,0.9,2.2
Niall Northcott,VIP,80,31.3,6.9,14.6,5.3,5.8,3.8,21,7.7,2.4,1,1.3,2.6
Quincy Calloway,WLD,79,37,8.8,19.3,6.1,7.1,4.1,27.2,5,14.5,2,0.2,4
Kellan Lockhart,XEN,78,34.8,8.7,18.4,4.8,6.3,5.1,21.2,5.2,14.4,1.3,0.4,3
Ulises Birchwell,YTI,74,36.4,6.7,12.6,3.6,4.8,3.4,20.5,9.9,2.4,0.8,1.3,2.2
Hugo Ravensworth,ZEP,74,33.1,7.3,11.6,4.2,6.4,0.4,20.1,10.5,2.6,0.6,1.5,2.8
Milo Ashgrove,ARC,75,34.7,9.3,14.8,3.6,6.3,0.2,21.7,11,2.4,0.8,1.8,2.5
Cyrus Ingram,BOL,82,37,11.5,22.1,6.6,6.7,4.9,30.5,5.8,3.7,1.4,0.3,3
Zane Blackwood,CRS,60,32.4,8.5,17,4.5,6,2.9,22.3,4.2,3.3,1.4,0.6,2.4
Ulises Pembrook,DUN,74,37,10,20.8,3.6,4.2,2,23.8,7.7,2.5,1.1,1.3,2.8
Dorian Garrow,ALB,73,37,8.1,18.9,4.9,6.4,5,25.3,6.1,4.7,0.9,0.4,3.3
Finn Abernet,BRV,55,37,8.6,18.3,5,6.5,2.9,24.2,8.3,3.4,1.2,0.7,3.8
Marek Birchwell,CDR,71,37,11.1,24.3,4.6,4.6,2.9,28.6,3.4,10,1.2,0.4,3.6
Hugo Yarrow,DLT,56,36.4,8,18.6,3.8,4.8,4,25.1,4.4,4.7,1.2,0.4,3.2
Hollis Fairbourne,EMB,57,34.4,7.9,15.9,4.2,4.6,3.6,24.1,4.7,4.6,1.1,0.4,3
Emeka Blackwood,FRG,73,36.6,10.6,17.6,5.1,7.6,0.3,29.3,10.9,2.9,0.9,1.7,3.7
Soren Yarrow,GLN,75,35.6,4.7,11.3,4,5.1,2.3,14.4,6.5,3.1,1.2,0.5,2.3
Yuri Calloway,HVN,78,28,7.3,19.4,2.5,3.5,2.5,19.6,6.9,1.8,0.7,1.2,2
Kellan Oakridge,IRN,76,37,9.2,22.7,3.6,4.8,2.7,23.2,7.5,3.5,0.9,0.7,3.4
Linus Eastlake,JAD,79,33.4,7,11.9,5.6,9,0.4,20,15,2.4,0.9,2.4,3
Orin Hartwell,KNG,76,34.8,13.2,25.4,3.9,4.7,5.3,31.2,3.7,3.9,1.4,0.6,4
