R#,ADP,PLAYER,TEAM,POS,GP,MPG,FG%,FT%,3PM,PTS,REB,AST,STL,BLK,TO,W18,W19,W20,W21
2,9.5,Kade Birchwell,ALB,PF,76,37,0.443 (11.4/25.7),0.812 (3.6/4.4),3.4,28.6,8.5,2.9,1,1.2,2.3,4,4,3,4
12,7.9,Vance Yarrow,BRV,"PF,C",57,37,0.475 (9.6/20.2),0.846 (4.5/5.3),4,26.1,8,2.5,1,1.8,3.4,4,3,4,4
1,15.5,Ulises Zeller,CDR,"SG,SF",70,37,0.448 (11.4/25.5),0.753 (5.8/7.7),6.7,32.9,4.2,3.3,1.5,0.5,4.9,4,4,3,4
5,8.4,Gage Ashgrove,DLT,"SG,SF",76,37,0.435 (11.4/26.2),0.899 (4.2/4.6),4.7,30.1,5.5,3.7,1.3,0.4,3.5,3,4,3,3
4,5.3,Tate Oakridge,EMB,SF,78,37,0.422 (12.8/30.4),0.748 (6.2/8.2),3.4,34,9.4,3.5,1.6,0.6,2.6,4,4,3,4
10,2,Cam Ashgrove,FRG,PF,52,37,0.497 (11.7/23.6),0.76 (5.4/7.1),3.9,31.2,8.6,2.9,1,0.9,3.6,4,4,4,3
30,19.2,Avery Fairbourne,GLN,"SF,PF",80,37,0.478 (12.7/26.6),0.79 (2.4/3),4.2,30.4,8,2.9,1.1,0.7,3.2,3,4,4,3
16,19.1,Milo Zeller,HVN,PG,79,35.9,0.42 (9.8/23.2),0.823 (4.7/5.8),3.7,26.7,4.9,12,1.1,0.5,5.8,4,4,4,3
6,1,Jonah Northcott,IRN,"SG,SF",73,37,0.4 (10/25.1),0.727 (3.5/4.9),4.5,26.6,5.6,4.6,1,0.6,3.3,3,3,4,4
11,24.6,Tate Dunmore,JAD,PG,70,37,0.476 (11.4/24),0.861 (8.2/9.5),4.5,33.9,3.8,14.4,1.3,0.4,5.5,4,4,4,3
3,3.2,Quincy Yarrow,KNG,SF,70,37,0.51 (10/19.6),0.724 (3.8/5.2),2.5,25.3,5.7,4.5,1.4,1,3.4,4,3,3,3
19,11.2,Cyrus Pembrook,LYX,SG,76,37,0.47 (7.8/16.6),0.758 (3.8/5),6.7,23.6,5.2,4.3,1.5,0.6,3.1,4,3,4,4
20,8.8,Wes Quill,MTR,"PF,C",73,37,0.505 (8.6/17),0.786 (3.5/4.5),3,22.5,9.3,2.7,0.8,1.7,3.3,3,3,3,4
14,20.1,Eli Vexley,NOV,PG,74,37,0.46 (9.3/20.3),0.803 (4.2/5.2),3.7,25.1,4.2,13.5,1,0.3,4.1,4,3,4,4
26,26.4,Avery Lockhart,ORC,"PF,C",59,35.2,0.511 (6.5/12.7),0.788 (3.3/4.2),2.9,18,6.7,2.2,0.7,1.3,2.4,3,4,3,4
15,33.8,Idris Lockhart,PHN,"SF,PF",75,37,0.461 (9.7/21),0.784 (2.9/3.7),3.4,24.4,7.6,3.5,1.3,0.6,2.6,4,3,3,4
8,9.3,Florian Ingram,QST,C,79,37,0.582 (8.6/14.8),0.716 (7/9.8),0.4,24.5,12.4,3.1,0.8,2.2,3.8,4,4,3,3
7,16.1,Hollis Underhill,RVR,"PG,SG",79,37,0.448 (7.3/16.3),0.918 (4.6/5),4.4,22,4.1,12.9,1.2,0.5,4.8,4,3,4,3
18,30.3,Hugo Corvell,SUM,PG,74,37,0.48 (9.9/20.6),0.813 (4.7/5.7),4.3,27,3.9,13.9,2,0.3,4,3,4,4,4
9,25.3,Marek Oakridge,TID,C,69,37,0.534 (11.8/22),0.697 (6.6/9.5),0.4,30.4,13.1,2.6,0.7,1.7,3.2,4,3,3,3
33,32.6,Rowan Garrow,UMB,"PF,C",78,37,0.511 (11.3/22.2),0.717 (6.6/9.2),2.7,30.9,7.5,3,0.9,0.9,2.5,4,3,3,4
29,37.5,Niall Northcott,VIP,"PF,C",79,31.3,0.46 (7.1/15.4),0.84 (5.4/6.5),4,22.1,7.2,2.4,0.9,1.4,2.6,3,3,4,4
23,5.1,Quincy Calloway,WLD,PG,77,37,0.446 (8.9/19.9),0.876 (6.2/7.1),4.1,26.6,4.6,13.3,1.8,0.2,4.3,3,4,3,4
21,45.4,Kellan Lockhart,XEN,PG,76,34.8,0.437 (7.7/17.5),0.794 (4.7/6),4.7,23.1,5,14.4,1.3,0.4,3.1,3,4,4,4
31,28.9,Ulises Birchwell,YTI,"PF,C",74,36.4,0.519 (6.7/12.9),0.799 (3.6/4.5),3.2,18.9,9.9,2.7,0.8,1.2,2.2,4,3,3,3
40,28.4,Hugo Ravensworth,ZEP,C,73,33.1,0.651 (7.8/11.9),0.651 (4.4/6.7),0.4,20.1,10.2,2.4,0.6,1.5,2.8,3,3,4,4
