Player,Team,Pos,Yahoo ID,XRank,Rank,Last 7 Days ADP,Status,Source,Captured At,Confidence,Review Fields
Kade Birchwell,ALB,PF,ySMP0001,2,3,10.8,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Vance Yarrow,BRV,"PF,C",ySMP0002,7,13,5.8,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ulises Zeller,CDR,"SG,SF",ySMP0003,5,1,8.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Gage Ashgrove,DLT,"SG,SF",ySMP0004,14,10,3.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Tate Oakridge,EMB,SF,ySMP0005,8,4,12.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Cam Ashgrove,FRG,PF,ySMP0006,6,8,7,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Avery Fairbourne,GLN,"SF,PF",ySMP0007,15,15,18.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Milo Zeller,HVN,PG,ySMP0008,12,23,16.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Jonah Northcott,IRN,"SG,SF",ySMP0009,1,2,2.4,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Tate Dunmore,JAD,PG,ySMP0010,17,19,24.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Quincy Yarrow,KNG,SF,ySMP0011,3,12,3.8,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Cyrus Pembrook,LYX,SG,ySMP0012,9,31,13.7,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Wes Quill,MTR,"PF,C",ySMP0013,29,7,9.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Eli Vexley,NOV,PG,ySMP0014,21,22,21.8,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Avery Lockhart,ORC,"PF,C",ySMP0015,28,35,27.5,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Idris Lockhart,PHN,"SF,PF",ySMP0016,18,18,28.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
